IdEquipo;Nombre;Pais;PJ;Victorias;Empates;Derrotas;GolesFavor;GolesContra;DiferenciaGoles;Puntos
1;Real Madrid;ESP;0;0;0;0;0;0;0;0
2;FC Barcelona;ESP;0;0;0;0;0;0;0;0
3;Atletico de Madrid;ESP;0;0;0;0;0;0;0;0
4;Girona;ESP;0;0;0;0;0;0;0;0
5;Manchester City;ENG;0;0;0;0;0;0;0;0
6;Liverpool;ENG;0;0;0;0;0;0;0;0
7;Arsenal;ENG;0;0;0;0;0;0;0;0
8;Aston Villa;ENG;0;0;0;0;0;0;0;0
9;Bayern Munchen;ALE;0;0;0;0;0;0;0;0
10;RB Leipzig;ALE;0;0;0;0;0;0;0;0
11;B Leverkusen;ALE;0;0;0;0;0;0;0;0
12;Dortmund;ALE;0;0;0;0;0;0;0;0
13;Stuttgart;ALE;0;0;0;0;0;0;0;0